Token: “message”, Type: Keyword
Token: “User”, Type: Identifier
Token: “{”, Type: Symbol
Token: “required”, Type: Keyword
Token: “string”, Type: Type
Token: “name”, Type: Identifier
Token: “=”, Type: Symbol
Token: “1”, Type: Number
Token: “;”, Type: Symbol
Token: “optional”, Type: Keyword
Token: “int32”, Type: Type
Token: “age”, Type: Identifier
Token: “=”, Type: Symbol
Token: “2”, Type: Number
Token: “;”, Type: Symbol
Token: “repeated”, Type: Keyword
Token: “string”, Type: Type
Token: “email”, Type: Identifier
Token: “=”, Type: Symbol
Token: “3”, Type: Number
Token: “;”, Type: Symbol
Token: “}”, Type: Symbol
